nocues;nhog;region;aglo;t_aglo;v108;v109;v111;v202;v238a;v256a
1;1;3;6;4;56;1;1;1;1;1
1;1;3;6;4;51;2;2;1;;
1;1;3;6;4;31;2;3;3;;
1;1;3;6;4;31;1;5;3;;
1;1;3;6;4;7;2;7;;;
2;1;3;6;4;21;2;1;1;2;1
2;1;3;6;4;73;2;10;;;
2;1;3;6;4;53;2;9;1;;
2;1;3;6;4;21;2;6;1;;
3;1;3;6;4;24;2;1;3;1;
3;1;3;6;4;70;1;9;;;
3;1;3;6;4;62;2;9;;;
3;1;3;6;4;17;1;10;;;
3;1;3;6;4;14;2;10;;;
3;1;3;6;4;15;2;3;;;
4;1;3;6;4;30;2;1;;1;1
4;1;3;6;4;32;1;2;3;;
4;1;3;6;4;8;2;3;;;
4;1;3;6;4;5;2;3;;;
4;1;3;6;4;4;1;3;;;
5;1;3;6;4;57;1;1;1;2;2
5;1;3;6;4;75;2;9;3;;
5;1;3;6;4;55;2;2;;;
5;1;3;6;4;26;1;3;1;;
5;1;3;6;4;24;1;3;;;
6;1;3;6;4;38;2;1;3;1;1
6;1;3;6;4;53;2;9;3;;
6;1;3;6;4;18;1;3;3;;
6;1;3;6;4;6;1;3;;;
6;1;3;6;4;2;2;3;;;
7;1;3;6;1;59;2;1;1;1;2
7;1;3;6;1;61;1;2;2;;
7;1;3;6;1;24;1;3;2;;
7;1;3;6;1;21;2;3;2;;
7;1;3;6;1;19;2;3;2;;
8;1;3;6;1;40;1;1;;1;
8;1;3;6;1;36;2;2;1;;
8;1;3;6;1;4;1;3;;;
9;1;3;6;1;64;2;1;1;1;1
9;1;3;6;1;36;2;3;2;;
9;1;3;6;1;7;2;7;;;
9;1;3;6;1;7;2;7;;;
10;1;3;6;1;47;1;1;1;1;1
10;1;3;6;1;47;2;2;1;;
10;1;3;6;1;9;2;3;;;
11;1;3;6;1;29;1;1;1;1;1
11;1;3;6;1;25;2;2;2;;
11;1;3;6;1;2;1;3;;;
12;1;3;6;1;36;1;1;1;1;1
12;1;3;6;1;36;2;2;2;;
12;1;3;6;1;3;2;3;;;
13;1;3;6;1;37;1;1;;2;1
13;1;3;6;1;32;2;2;1;;
13;1;3;6;1;6;1;3;;;
13;1;3;6;1;0;2;3;;;
13;1;3;6;1;0;2;3;;;
